"Jaar indiening","Project Besluit VVO Type","Gebouw Functie kort","Handeling","[Project Indiening Datum.autoCalendar.Quarter]","Aantal projecten","Aantal gebouwen","Aantal gebouwen (met gebouwinfo)","Aantal wooneenheden","Aantal (studenten)kamers","Nuttige woonoppervlakte (m²)","Nuttige oppervlakte kamerwoningen (m²)","Bovengronds nuttige oppervlakte (m²)","Bovengronds grond oppervlakte (m²)","Gesloopte oppervlakte (m²)","Gesloopte volume (m³)"
"2022","Gemeente","meergezinswoning","Verbouwen of hergebruik","Q1","486","495","496","2.104","0","334.172,71","0","329.705,19","168.303,81","0,00","0,00"
"2022","Gemeente","meergezinswoning","Verbouwen of hergebruik","Q3","463","484","484","2.465","0","334.760,65","0","374.774,12","138.687,22","0,00","0,00"
"2022","Gemeente","meergezinswoning","Verbouwen of hergebruik","Q4","609","635","635","2.726","0","346.889,34","0","452.202,89","182.600,47","0,00","0,00"
"2022","-","meergezinswoning","Nieuwbouw","Q4","210","298","298","3.318","0","364.701,68","0","750.446,99","130.342,75","0,00","0,00"
"2022","Gemeente","meergezinswoning","Nieuwbouw","Q1","364","420","420","3.283","0","404.075,50","0","675.105,27","150.017,01","0,00","0,00"
"2022","Gemeente","meergezinswoning","Nieuwbouw","Q3","414","516","516","4.483","0","445.840,92","0","552.038,43","220.661,24","0,00","0,00"
"2022","Gemeente","meergezinswoning","Nieuwbouw","Q2","442","529","529","4.686","0","547.570,15","0","522.472,04","215.030,71","0,00","0,00"
"2022","Gemeente","eengezinswoning","Nieuwbouw","Q1","2.143","3.331","3.331","3.289","0","683.299,50","0","707.510,64","447.259,90","0,00","0,00"
"2022","Gemeente","meergezinswoning","Nieuwbouw","Q4","554","753","753","6.744","0","754.300,88","0","1.169.637,09","412.207,00","0,00","0,00"
"2022","Gemeente","eengezinswoning","Nieuwbouw","Q3","2.256","3.677","3.677","3.637","0","774.614,62","0","809.930,24","469.898,06","0,00","0,00"
